
Porownanie wszystkich wierszy z 0-ym
0.0,0.0,0.0
0.0,-9.0e-05,0.16129
-0.01176,-0.00062,0.19355
-0.01176,-0.00018,0.03226
-0.01176,-0.00016,0.35484
-0.01176,-0.00011,0.29032
-0.01176,-0.00034,0.32258
-0.01176,-2.0e-05,-0.03226
-0.01176,0.00044,-0.16129
-0.01176,-0.00023,0.03226
-0.02353,-0.00049,0.09677
-0.02353,7.0e-05,-0.06452
-0.02353,-0.00014,-0.3871
-0.02353,-0.00038,-0.22581
-0.02353,-0.0004,0.19355
-0.02353,-0.00046,-0.03226
-0.03529,0.00012,-0.12903
-0.03529,-0.00044,-0.16129
-0.03529,-0.00056,-0.09677
-0.03529,-0.00045,-0.03226
-0.03529,-0.00046,0.09677
-0.03529,-0.0007,-0.06452
-0.03529,4.0e-05,-0.25806
-0.03529,-0.00034,-0.35484
-0.04706,-0.00022,-0.12903
-0.04706,-0.00065,-0.32258
-0.04706,-0.00129,-0.06452
-0.04706,-0.00019,0.19355
-0.04706,4.0e-05,0.29032
-0.04706,-0.00047,0.0
-0.04706,-0.00011,-0.29032
-0.04706,-0.00059,-0.32258
-0.05882,-0.00049,-0.16129
-0.05882,-0.00042,-0.25806
-0.05882,-0.00041,0.32258
-0.05882,-0.00036,-0.19355
-0.05882,-0.00033,-0.19355
-0.05882,-0.00065,0.32258
-0.05882,-0.00025,-0.51613
-0.07059,-0.00047,0.0
-0.07059,-0.00033,-0.25806
-0.08235,-0.00049,-0.12903
-0.08235,-0.0009,-0.06452
-0.08235,-0.00052,0.19355
-0.09412,-0.00127,-0.41935
-0.09412,8.0e-05,-0.22581
-0.09412,-0.00044,-0.19355
-0.09412,-0.00066,-0.12903
-0.10588,-0.00089,-0.09677
-0.10588,-0.00077,-0.48387
-0.10588,-0.00064,0.03226
-0.10588,-0.00086,0.16129
-0.10588,-0.00092,-0.3871
-0.10588,-0.0008,-0.35484
-0.10588,-0.00103,-0.09677
-0.10588,-0.00094,-0.58065
-0.10588,-0.00069,-0.16129
-0.10588,-0.0011,-0.19355
-0.11765,-0.00066,-0.70968
-0.11765,-0.00052,-0.48387
-0.11765,-0.00085,-0.25806
-0.11765,-0.0006,0.09677
-0.11765,-0.00072,0.09677
-0.11765,-0.00111,-0.25806
-0.11765,-0.00099,0.16129
-0.11765,-0.00126,-0.25806
-0.11765,-0.00029,-0.22581
-0.11765,-0.00062,-0.22581
-0.12941,-0.00072,-0.19355
-0.12941,-0.00102,-0.58065
-0.12941,-0.0008,-0.32258
-0.12941,-0.00101,-0.3871
-0.12941,-0.00099,0.09677
-0.14118,-1.0,-0.19355
-0.14118,-0.00081,0.22581
-0.14118,-0.00098,-0.03226
-0.14118,-0.00149,-0.35484
-0.14118,-0.00068,-0.09677
-0.15294,-0.00066,0.0
-0.15294,-0.0006,-0.32258
-0.15294,-0.00095,-0.48387
-0.16471,-0.00118,0.03226
-0.16471,-0.00114,-0.06452
-0.16471,-0.00137,-0.3871
-0.16471,-0.00049,-0.54839
-0.17647,-0.00121,-0.45161
-0.17647,-0.00143,-0.32258
-0.18824,-0.00112,-0.12903
-0.18824,-0.00193,0.03226
-0.18824,-0.0013,-0.58065
-0.18824,-0.00152,0.16129
-0.2,-0.00156,-0.16129
-0.2,-0.00135,-0.35484
-0.2,-0.00193,-0.3871
-0.2,-0.00118,-0.54839
-0.2,-0.00109,-0.09677
-0.21176,-0.00155,0.12903
-0.21176,-0.00165,-0.06452
-0.21176,-0.00127,-0.29032
-0.21176,-0.00138,0.06452
-0.21176,-0.00115,-0.22581
-0.21176,-0.001,0.09677
-0.21176,-0.00104,-0.06452
-0.21176,-0.00112,-0.19355
-0.21176,-0.0018,-0.16129
-0.21176,-0.96993,-0.03226
-0.22353,-0.00097,-0.12903
-0.23529,-0.00106,-0.32258
-0.23529,-0.00149,-0.41935
-0.23529,-0.00178,0.0
-0.23529,-0.00178,-0.29032
-0.23529,-0.00149,0.19355
-0.24706,-0.0013,-0.32258
-0.24706,-0.00139,0.0
-0.24706,-0.00207,-0.3871
-0.24706,-0.00087,-0.41935
-0.25882,-0.00111,-0.03226
-0.25882,-0.00138,-0.51613
-0.25882,-0.00136,-0.22581
-0.27059,-0.00162,-0.54839
-0.27059,-0.00197,0.0
-0.27059,-0.00169,0.03226
-0.47059,-0.96923,-0.41935
-0.65882,-0.96967,-1.0
-0.74118,-0.97107,-0.93548
-1.0,-0.92164,-0.74194

Porownanie wszystkich wierszy z 1-ym
0.0,-9.0e-05,0.13889
0.0,0.0,0.0
0.01176,0.00053,-0.02778
0.01176,9.0e-05,0.11111
